yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
117,450.45,277.34,51.678,8152.9,87.263,40.418,24.789,4.42,0,23.661,11.221,3371.7,11.221,11.221,16.19,116.36,4.8658
118,460.9,297.7,54.062,7950,87.523,41.364,25.188,4.438,0,23.423,11.723,3470,11.723,11.723,16.709,112.94,4.9035
119,457.32,311.84,55.997,7843.8,95.853,43.561,25.832,4.9014,0,24.841,11.973,3507.5,11.973,11.973,16.263,113.98,5.4817
120,455.19,319.65,55.713,8004.2,96.891,47.86,25.941,5.3055,0,24.492,12.318,3582.5,12.318,12.318,15.718,114.97,5.3306
121,463.22,320.5,54.557,8046.7,94.555,50.121,26.387,4.9143,0,23.647,13.259,3702.5,13.259,13.259,15.244,117.07,5.123
122,459.68,321.4,52.056,8235.5,94.295,50.687,25.988,4.6568,0,23.22,13.436,3760,13.436,13.436,15.232,116.43,5.0286
123,443.65,307.57,51.018,8202.4,93.139,50.196,24.544,4.3479,0,22.146,12.672,3794.2,12.672,12.672,15.164,110.46,4.7218
124,443.51,309.69,57.955,8254.4,95.546,48.445,25.329,4.6852,0,32.536,14.602,3898.3,14.602,14.602,14.873,116.48,4.887
125,466.05,313.77,56.822,8282.7,96.301,48.665,25.051,4.9554,0,29.87,13.281,4024.2,13.281,13.281,14.305,119.47,4.9602
126,464.87,307.57,57.814,8535.2,98.071,48.075,25.648,5.218,0,27.227,12.851,4103.3,12.851,12.851,14.647,119.73,5.9513
127,449.77,298.32,52.646,8740.5,93.257,44.011,24.331,4.8525,0,23.784,12.117,4145,12.117,12.117,14.128,113.98,5.1489
128,420.98,284.25,46.605,8629.6,91.581,40.996,22.795,4.3685,0,21.495,11.398,4155,11.398,11.398,15.409,104.06,4.5496
129,396.91,267.97,43.915,8572.9,91.794,40.016,23.442,4.4818,0,20.263,10.985,4160.8,10.985,10.985,15.813,98.448,4.323
130,402.34,271.56,50.428,8665,90.425,39.818,24.065,4.5693,0,20.596,10.966,4197.5,10.966,10.966,15.4,100.9,5.9843
131,422.86,289.52,52.103,8414.8,89.694,38.752,24.282,4.3376,0,20.284,11.287,4218.3,11.287,11.287,15.666,110.86,6.5553
132,438.91,305.52,49.507,8398.3,90.378,39.813,24.015,4.1626,0,19.515,11.652,4187.5,11.652,11.652,15.468,113.5,5.7176
133,442.92,303.04,51.82,8464.4,89.788,40.974,23.866,4.2733,0,20.048,11.454,4197.5,11.454,11.454,15.168,111.26,6.048
134,440.09,333.48,60.763,8575.3,95.121,43.039,24.135,4.3788,0,20.527,12.148,4220,12.148,12.148,16.039,119.69,6.2698
135,479.97,375.03,67.347,8624.8,111,48.037,26.656,4.7701,0,21.601,14.503,4362.5,14.503,14.503,17.776,133.14,5.9654
136,536.6,399.2,68.178,8598.9,120.04,52.013,28.853,4.662,0,21.573,15.942,4565,15.942,15.942,19.852,142.81,5.6398
137,596.07,444.39,73.695,8707.4,127.33,55.369,29.737,4.4663,0,25.502,20.744,4745,20.744,20.744,20.527,150.41,5.3896
138,639.49,456.7,71.144,8900.9,129.6,56.176,30.514,4.5307,0,27.156,20.931,4884.2,20.931,20.931,20.254,160.18,5.2363
139,620.85,440.23,67.401,9110.9,126.08,56.62,31.182,4.4741,0,25.049,18.59,5065,18.59,18.59,19.204,152.58,4.9224
140,610.7,427.25,69.23,9332.8,122.21,54.265,32.432,4.2166,0,22.899,17.29,5255.8,17.29,17.29,18.809,152.86,4.8044
141,595.6,415.38,63.187,9526.3,122.49,52.41,33.157,4.0261,0,22.639,18.146,5413.3,18.146,18.146,18.307,149.25,4.5873
142,589.23,429.78,61.693,9559.3,126.51,53.158,34.783,3.7069,0,22.245,18.401,5620,18.401,18.401,19.47,149.44,4.3726
143,581.2,433.25,59.699,9495.6,131.04,52.927,33.501,3.4752,0,21.672,19.9,5822.5,19.9,19.9,20.013,150.81,4.0163
